hour,average,unit
00-01,-1.06,öre/kWh
01-02,-1.21,öre/kWh
02-03,-1.43,öre/kWh
03-04,-1.13,öre/kWh
04-05,-7.72,öre/kWh
05-06,1551.18,öre/kWh
06-07,135.92,öre/kWh
07-08,4.02,öre/kWh
08-09,4.36,öre/kWh
09-10,4.06,öre/kWh
10-11,3.38,öre/kWh
11-12,3.33,öre/kWh
12-13,3.29,öre/kWh
13-14,2.98,öre/kWh
14-15,2.66,öre/kWh
15-16,3.67,öre/kWh
16-17,33.89,öre/kWh
17-18,132.57,öre/kWh
18-19,172.47,öre/kWh
19-20,113.10,öre/kWh
20-21,4.19,öre/kWh
21-22,3.35,öre/kWh
22-23,2.25,öre/kWh
23-00,-0.91,öre/kWh
